generation,best_fitness,avg_fitness,worst_fitness,best_individual,best_feature_count,best_features
22,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
23,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
24,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
25,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
26,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
27,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
28,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
29,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
30,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
31,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
